Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Depth (cm),Diameter (cm),Height (cm),Length (cm),Width (cm)
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Interior perspective and details of furniture",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1936,Graphite and color pencil on tracing paper,"14 1/4 x 11 1/2"" (36.2 x 29.2 cm)",Gift of Milton Scheingarten,91.2,Architecture,Architecture & Design,19/01/2000,Y,178,http://www.moma.org/collection/works/178,http://www.moma.org/media/W1siZiIsIjE2ODIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=df7eba231371e0b9,,,36.2,,29.2
"Porta Vittoria, project, Milan, Italy, New subway station opening onto elongated gap, perspective and plan",Steven Holl,2702,"American, born 1947",American,1947-01-01T00:00:00Z,0,Male,1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,91.1989,Architecture,Architecture & Design,16/05/1989,Y,179,http://www.moma.org/collection/works/179,http://www.moma.org/media/W1siZiIsIjE2OTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ede44610eefaef60,,,75.6,,56.5
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives of the medical school and auditorium",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1936,Graphite on tracing paper,"14 1/2 x 11 1/2"" (36.8 x 29.2 cm)",Gift of Milton Scheingarten,92.2,Architecture,Architecture & Design,19/01/2000,Y,180,http://www.moma.org/collection/works/180,http://www.moma.org/media/W1siZiIsIjE3MDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=01117971a535bbea,,,36.8301,,29.2101
"Porta Vittoria, project, Milan, Italy, View at elliptical passage, perspective and plan",Steven Holl,2702,"American, born 1947",American,1947-01-01T00:00:00Z,0,Male,1986,"Graphite, ink and ink wash on paper","30 x 22 1/4"" (76.2 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,92.1989,Architecture,Architecture & Design,16/05/1989,Y,181,http://www.moma.org/collection/works/181,http://www.moma.org/media/W1siZiIsIjE3MTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=381ee89710ba5a22,,,76.2,,56.5
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1936,Colored pencil on tracing paper,"8 5/8 x 16"" (21.9 x 40.6 cm)",Gift of Milton Scheingarten,93.2,Architecture,Architecture & Design,19/01/2000,Y,182,http://www.moma.org/collection/works/182,http://www.moma.org/media/W1siZiIsIjE3MTYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=7b1973a0864af288,,,21.9075,,40.6401
"Porta Vittoria, project, Milan, Italy, Subway station and shops, ticket-taker tower, perspective and plan",Steven Holl,2702,"American, born 1947",American,1947-01-01T00:00:00Z,0,Male,1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,93.1989,Architecture,Architecture & Design,16/05/1989,Y,183,http://www.moma.org/collection/works/183,http://www.moma.org/media/W1siZiIsIjE3MzAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=64246da126398898,,,75.6,,56.5
"Residence of Salman Schocken, Jerusalem, Israel, Perspective and elevation",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,Unknown,Graphite and color pencil on tracing paper,"13 1/2 x 11 5/16"" (34.3 x 28.7 cm)",Gift of Milton Scheingarten,94.2,Architecture,Architecture & Design,19/01/2000,Y,184,http://www.moma.org/collection/works/184,http://www.moma.org/media/W1siZiIsIjIxMDI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c22128ffafdd2081,,,34.2901,,28.7338
"Porta Vittoria, project, Milan, Italy, Water basin, amphitheater, and jack-up rig, perspective and plan",Steven Holl,2702,"American, born 1947",American,1947-01-01T00:00:00Z,0,Male,1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,94.1989,Architecture,Architecture & Design,16/05/1989,Y,185,http://www.moma.org/collection/works/185,http://www.moma.org/media/W1siZiIsIjE3NDEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=38a1bba986e72a56,,,75.6,,56.5
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1936,Graphite and color pencil on tracing paper,"13 7/8 x 9 1/2"" (35.2 x 24.1 cm)",Gift of Milton Scheingarten,95.2,Architecture,Architecture & Design,19/01/2000,Y,186,http://www.moma.org/collection/works/186,http://www.moma.org/media/W1siZiIsIjIyMTcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da26b77fd3bdcc9b,,,35.2,,24.1
"Porta Vittoria, project, Milan, Italy, Passage below water basin, perspective and plan",Steven Holl,2702,"American, born 1947",American,1947-01-01T00:00:00Z,0,Male,1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,95.1989,Architecture,Architecture & Design,16/05/1989,Y,187,http://www.moma.org/collection/works/187,http://www.moma.org/media/W1siZiIsIjE3NTUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c63750e7cee52e42,,,75.6,,56.5
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,Unknown,Graphite on tracing paper,"11 7/8 x 14 1/2"" (30.2 x 36.8 cm)",Gift of Milton Scheingarten,96.2,Architecture,Architecture & Design,19/01/2000,Y,188,http://www.moma.org/collection/works/188,http://www.moma.org/media/W1siZiIsIjYwMTIzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8c5990d4805b477c,,,30.2,,36.8
"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",Paul Rudolph,5076,"American, 1918�1997",American,1918-01-01T00:00:00Z,1997-01-01T00:00:00Z,Male,1989,Ink on tracing paper,"14 5/8 x 64 3/4"" (37.1 x 164.5 cm)",Gift of the architect,96.1989,Architecture,Architecture & Design,16/05/1989,Y,189,http://www.moma.org/collection/works/189,http://www.moma.org/media/W1siZiIsIjE3NzMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a3b883ca39d99b1e,,,37.1,,164.5
"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,Unknown,Graphite on tracing paper,"11 3/4 x 14 3/4"" (29.8 x 37.5 cm)",Gift of Milton Scheingarten,97.2,Architecture,Architecture & Design,19/01/2000,Y,190,http://www.moma.org/collection/works/190,http://www.moma.org/media/W1siZiIsIjYwMTI0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7e27882e1418ef6a,,,29.8,,37.5
"Finney Guest House Project, Siesta Key, Florida, Aerial perspective",Paul Rudolph,5076,"American, 1918�1997",American,1918-01-01T00:00:00Z,1997-01-01T00:00:00Z,Male,1949,Ink and printed polymer sheet on paper,"25 1/2 x 18 7/8"" (64.8 x 47.9 cm)",Gift of the architect,97.1989,Architecture,Architecture & Design,16/05/1989,Y,191,http://www.moma.org/collection/works/191,http://www.moma.org/media/W1siZiIsIjE3ODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=52a7504dbee828dd,,,64.8,,47.9
"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,Unknown,Graphite on tracing paper,"16 1/2 x 11 1/2"" (41.9 x 29.2 cm)",Gift of Milton Scheingarten,98.2,Architecture,Architecture & Design,19/01/2000,Y,192,http://www.moma.org/collection/works/192,http://www.moma.org/media/W1siZiIsIjYwMTI1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=db07fb07d4a77c33,,,41.9,,29.2
"Yale University, Art and Architecture Building, New Haven, Connecticut, Elevation",Paul Rudolph,5076,"American, 1918�1997",American,1918-01-01T00:00:00Z,1997-01-01T00:00:00Z,Male,1958�1964,Graphite and colored pencil on paper,"27 1/4 x 34 1/4"" (69.2 x 87 cm)",Gift of the architect,98.1989,Architecture,Architecture & Design,16/05/1989,Y,193,http://www.moma.org/collection/works/193,http://www.moma.org/media/W1siZiIsIjE4MDAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e54cf2f46103a1d,,,69.2,,87
"Residence of Salman Schocken, Jerusalem, Israel, Perspectives",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,Unknown,Graphite on tracing paper,"14 3/4 x 11 1/4"" (37.5 x 28.5 cm)",Gift of Milton Scheingarten,99.2,Architecture,Architecture & Design,19/01/2000,Y,194,http://www.moma.org/collection/works/194,http://www.moma.org/media/W1siZiIsIjYwMTI2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d1a1a05e415930e2,,,37.5,,28.5
Unidentified project (Perspective),Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,c. 1935,Print,"15 3/4 x 18 15/16"" (40 x 48.1 cm)",Gift of Milton Scheingarten,100.2,Architecture,Architecture & Design,19/01/2000,Y,195,http://www.moma.org/collection/works/195,,,,21,,25.2
"Hadassah University Hospital, Mount Scopus, Jerusalem, Exterior perspective of northwest corner from University Building",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1935,"Crayon, graphite, and gouache on sepia diazotype","21 1/4 x 23 3/4"" (54 x 60.3 cm)",Gift of Milton Scheingarten,101.2,Architecture,Architecture & Design,19/01/2000,Y,197,http://www.moma.org/collection/works/197,http://www.moma.org/media/W1siZiIsIjE4MzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c064cdc382a96b5,,,12.7,,35.6
"Hadassah University Medical Center, Mount Scopus, Jerusalem, View of hospital, north west corner: ""From the National Library""",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1935,"Tempera, graphite, and color pencil on print","21 1/4 x 22 3/4"" (54 x 57.8 cm)",Gift of Milton Scheingarten,102.2,Architecture,Architecture & Design,19/01/2000,Y,198,http://www.moma.org/collection/works/198,http://www.moma.org/media/W1siZiIsIjE4NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=17371a2ce16ffcad,,,64,,38
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Exterior perspective",Erich Mendelsohn,8219,"American, born Germany now Poland. 1887�1953",American,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,Male,1935,"Tempera, graphite, and color pencil on print","21 1/2 x 24"" (54.6 x 61 cm)",Gift of Milton Scheingarten,103.2,Architecture,Architecture & Design,19/01/2000,Y,199,http://www.moma.org/collection/works/199,http://www.moma.org/media/W1siZiIsIjU5NTkyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=34f97f3e1f2c9c30,,,54.6101,,60.9601
"Arcadia Peninsula Housing, project, Revised version: exterior elevation",Peter Cook,6950,"British, born 1936",British,1936-01-01T00:00:00Z,0,Male,1979,Ink and gouache on paper,"11 x 34 1/4"" (27.9 x 87 cm)",Gift of Kenneth Walker,106.1992,Architecture,Architecture & Design,15/01/1992,Y,200,http://www.moma.org/collection/works/200,http://www.moma.org/media/W1siZiIsIjE5MTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=51390bf833c95a9b,,,27.9,,87
"Slow House Project, North Haven, New York, Plan of lower-level and sections","Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio","8707, 6951, 6952","American, established 1979 American, born Poland 1954 American, born 1935",American American American,(1979) (1954) (1935),(0) (0) (0),,1989,Computer-generated print on frosted polymer sheet with graphite and colored ink mounted on painted wood with metal,"47 5/8 x 36 1/2 x 1 1/2"" (121 x 92.7 x 3.8 cm)
",Marshall Cogan Purchase Fund and Jeffrey P. Klein Purchase Fund,107.1992,Architecture,Architecture & Design,15/01/1992,Y,201,http://www.moma.org/collection/works/201,http://www.moma.org/media/W1siZiIsIjE5MjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5aec1fba71220ffe,3.8,,121,,92.7
"The Peak Project, Hong Kong, China (Exterior perspective)",Zaha Hadid,6953,"British, born Iraq. 1950�2016",British,1950-01-01T00:00:00Z,2016-01-01T00:00:00Z,Female,1991,Synthetic polymer on paper mounted on canvas,"51 x 72"" (129.5 x 182.9 cm)","David Rockefeller, Jr. Fund",108.1992,Architecture,Architecture & Design,15/01/1992,Y,202,http://www.moma.org/collection/works/202,http://www.moma.org/media/W1siZiIsIjE5MzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dd26102a0662adf2,,,129.5403,,182.8804
"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",Fumihiko Maki,6954,"Japanese, born 1928",Japanese,1928-01-01T00:00:00Z,0,Male,1980,Ink and graphite on graph paper,"8 x 5 3/4"" (20.3 x 14.6 cm)",Gift of Kenneth Walker,109.1992,Architecture,Architecture & Design,15/01/1992,Y,203,http://www.moma.org/collection/works/203,http://www.moma.org/media/W1siZiIsIjE5NTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=84aac4297b1ed343,,,20.3,,14.6
"Egg of Columbus Circle, project, New York, New York, Axonometric","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","Dutch, born 1944 British, born Greece 1937 British, born Greece 1937 Dutch, born 1945",Dutch British British Dutch,(1944) (1937) (1937) (1945),(0) (0) (0) (0),Male,1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,15/01/1992,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1,,,113,,68.6
"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"American, 1867�1959",American,1867-01-01T00:00:00Z,1959-01-01T00:00:00Z,Male,1941,Graphite and colored pencil on tracing paper,"30 3/4 x 20 1/8"" (78.1 x 51.1 cm)",Arthur Drexler Fund,111.1992,Architecture,Architecture & Design,15/01/1992,Y,205,http://www.moma.org/collection/works/205,http://www.moma.org/media/W1siZiIsIjE5OTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=57c08d9ee84fa133,,,78.1052,,51.1176
"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"American, 1867�1959",American,1867-01-01T00:00:00Z,1959-01-01T00:00:00Z,Male,1941,Graphite and colored pencil on tracing paper,"20 7/8 x 30 7/8"" (53 x 78.5 cm)",Arthur Drexler Fund,112.1992,Architecture,Architecture & Design,15/01/1992,Y,206,http://www.moma.org/collection/works/206,http://www.moma.org/media/W1siZiIsIjIwMDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ea0fd8008cac6e72,,,53,,78.5
"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"American, 1867�1959",American,1867-01-01T00:00:00Z,1959-01-01T00:00:00Z,Male,1941,"Colored pencil, graphite, and color ink on tracing paper","16 15/16 x 19 1/4"" (43.1 x 48.9 cm)",Arthur Drexler Fund,113.1992,Architecture,Architecture & Design,15/01/1992,Y,207,http://www.moma.org/collection/works/207,http://www.moma.org/media/W1siZiIsIjIwMjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b7770df7a3582fe8,,,43.1,,48.8951
"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"American, 1867�1959",American,1867-01-01T00:00:00Z,1959-01-01T00:00:00Z,Male,1941,Graphite and color pencil on tracing paper,"20 3/4 x 31"" (52.7 x 78.8 cm)",Arthur Drexler Fund,114.1992,Architecture,Architecture & Design,15/01/1992,Y,208,http://www.moma.org/collection/works/208,http://www.moma.org/media/W1siZiIsIjIwMzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a0f4007634fa3a46,,,52.7051,,78.8
"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",Mario Bellini,451,"Italian, born 1935",Italian,1935-01-01T00:00:00Z,0,Male,1987,Crayon and cut and pasted photocopies on transparent overlay on print,"19 1/2 x 30 1/2"" (49.5 x 77.5 cm)",Gift of the designer,119.1988,Architecture,Architecture & Design,27/04/1988,Y,209,http://www.moma.org/collection/works/209,http://www.moma.org/media/W1siZiIsIjIxMTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=34c19148da35029c,,,49.5,,77.5
"City Hall, project, North Canton, Ohio, Perspective sketch","Venturi and Rauch, Robert Venturi, John Rauch","8213, 6132, 8214","American, est. 1964�1979 American, born 1925 American, born 1930",American American American,(1964) (1925) (1930),(1979) (0) (0),,1965,Graphite on tracing paper,"20 1/2 x 36"" (52.1 x 91.4 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",120.1988,Architecture,Architecture & Design,27/04/1988,Y,210,http://www.moma.org/collection/works/210,http://www.moma.org/media/W1siZiIsIjIxMjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=62d5e18053f62b75,,,52.1,,91.4
"House, Northern Delaware, Preliminary study of west elevation","Venturi and Rauch, Robert Venturi, John Rauch, Denise Scott Brown","8213, 6132, 8214, 8216","American, est. 1964�1979 American, born 1925 American, born 1930 American, born Zambia, 1931",American American American American,(1964) (1925) (1930) (1931),(1979) (0) (0) (0),,1978,Felt-tipped pen on tracing paper,"12 x 23 1/2"" (30.5 x 59.7 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",121.1988,Architecture,Architecture & Design,27/04/1988,Y,211,http://www.moma.org/collection/works/211,http://www.moma.org/media/W1siZiIsIjIxNDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=339eadb1ef174245,,,30.4801,,59.6901
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows","Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown","8215, 6132, 8214, 8216","American, established 1980 American, born 1925 American, born 1930 American, born Zambia, 1931",American American American American,(1980) (1925) (1930) (1931),(0) (0) (0) (0),,1981,Felt-tipped pen on tracing paper,"12 x 15 1/8"" (30.5 x 38.4 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",122.1988,Architecture,Architecture & Design,27/04/1988,Y,212,http://www.moma.org/collection/works/212,http://www.moma.org/media/W1siZiIsIjIxNTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=89042945433620c4,,,30.4801,,38.4176
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation","Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown","8215, 6132, 8214, 8216","American, established 1980 American, born 1925 American, born 1930 American, born Zambia, 1931",American American American American,(1980) (1925) (1930) (1931),(0) (0) (0) (0),,1981,Graphite on tracing paper,"12 x 13 1/2"" (30.5 x 34.3 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",123.1988,Architecture,Architecture & Design,27/04/1988,Y,213,http://www.moma.org/collection/works/213,http://www.moma.org/media/W1siZiIsIjIxMDM0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=33e806641be4aeda,,,30.4801,,34.2901
"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation","Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown","8215, 6132, 8214, 8216","American, established 1980 American, born 1925 American, born 1930 American, born Zambia, 1931",American American American American,(1980) (1925) (1930) (1931),(0) (0) (0) (0),,1983,Felt-tipped pen on tracing paper,12 x 28 (30.5 x 71.1 cm),"Gift of Venturi, Rauch and Scott Brown, Inc.",124.1988,Architecture,Architecture & Design,27/04/1988,Y,215,http://www.moma.org/collection/works/215,http://www.moma.org/media/W1siZiIsIjIxODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=63fce23f3fb75404,,,30.4801,,71.1201
"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",Emilio Ambasz,141,"Argentine, born 1943",Argentine,1943-01-01T00:00:00Z,0,Male,1975,Ink and photostat on acetate,"37 1/2 x 37 5/8"" (95.3 x 95.6 cm)",Gift of the architect,131.1992,Architecture,Architecture & Design,15/01/1992,Y,219,http://www.moma.org/collection/works/219,http://www.moma.org/media/W1siZiIsIjIyODgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ae2602e3367239e2,,,95.3,,95.6
"Hospital: House of Hope, Houses of Birth, Houses of No Return, project, Venice, Italy, Sectional perspective",Raimund Abraham,47,"American, born Austria. 1933�2010",American,1933-01-01T00:00:00Z,2010-01-01T00:00:00Z,Male,1979,"Color pencil, graphite, and gouache","27 1/4 x 32 3/4"" (69.2 x 83.2 cm)
",Gift of Dorothy and Leroy Lavine,131.1995,Architecture,Architecture & Design,09/05/1995,Y,220,http://www.moma.org/collection/works/220,http://www.moma.org/media/W1siZiIsIjIyOTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=64b4f339371846e5,,,69.2151,,83.1852
"Church on the Water, Tomamu, Hokkaido, Japan (Elevation and plan)",Tadao Ando,7055,"Japanese, born 1941",Japanese,1941-01-01T00:00:00Z,0,Male,1985�1988,"Crayon, graphite, color pencil","41 3/8 x 157 5/8"" (105.1 x 400.4 cm)",Gift of the architect,137.1993,Architecture,Architecture & Design,04/05/1993,Y,221,http://www.moma.org/collection/works/221,,,,105.0927,,400.3683
"Church on the Water, Tomamu, Hokkaido, Japan, Plan and sketch",Tadao Ando,7055,"Japanese, born 1941",Japanese,1941-01-01T00:00:00Z,0,Male,1985�1988,Crayon on mulberry paper,"12 1/8 x 17 1/2"" (30.8 x 44.5 cm)",Gift of the architect,138.1993,Architecture,Architecture & Design,04/05/1993,Y,222,http://www.moma.org/collection/works/222,http://www.moma.org/media/W1siZiIsIjIzODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=46fabaf98766cfea,,,30.8,,44.5
"Church on the Water, Tomamu, Hokkaido, Japan, Elevation and plan, sketch",Tadao Ando,7055,"Japanese, born 1941",Japanese,1941-01-01T00:00:00Z,0,Male,1985�1988,Crayon and ink on paper,"12 x 12 3/4"" (30.5 x 32.4 cm)",Gift of the architect,139.1993,Architecture,Architecture & Design,04/05/1993,Y,223,http://www.moma.org/collection/works/223,http://www.moma.org/media/W1siZiIsIjI0MDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=7683b20f77a820a7,,,30.4801,,32.3851
"Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Exterior perspective",Tadao Ando,7055,"Japanese, born 1941",Japanese,1941-01-01T00:00:00Z,0,Male,c. 1989-91,Graphite and crayon with scoring on paper,"11 5/8 x 33 1/8"" (29.5 x 84.1 cm)",Gift of the architect,140.1993,Architecture,Architecture & Design,04/05/1993,Y,224,http://www.moma.org/collection/works/224,http://www.moma.org/media/W1siZiIsIjI0MjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=fc83f94557c1d11e,,,29.5,,84.1
"Nara Convention Hall, Nara, Japan, Exterior perspective",Arata Isozaki,2837,"Japanese, born 1931",Japanese,1931-01-01T00:00:00Z,0,Male,1992,Computer-generated print,"21 x 23"" (53.3 x 58.4 cm)",Gift of the architect,142.1993,Architecture,Architecture & Design,04/05/1993,Y,225,http://www.moma.org/collection/works/225,http://www.moma.org/media/W1siZiIsIjI0NTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ff3731cb0486d013,,,62.2,,102.2
